year,STATION,Chla.spme,Secc.spme,Sal.spme,Temp.spme,TP.spme,TN.spme,TSS.spme
1985,CB1.1,13.666666666666666,0.6166666666666667,0,12.85,0.043,1.298,9.8
1985,CB2.1,14,0.4,0.06999999999999999,12.299999999999999,0.058,1.393,24.5
1985,CB2.2,12.933333333333334,0.43333333333333335,0.6816666666666666,12.55,0.05,1.1153,16.2
1985,CB3.1,4.025,0.5,2.116,11.5,0.067,1.026,14
1985,CB3.2,5.65,0.62,4.7,11.42,0.09,1.072,10.2
1985,CB3.3C,19.5,1.4833333333333334,8.653333333333332,12.633333333333333,0.0476,0.768,7
1985,CB3.3E,15.35,1.5833333333333333,8.701666666666666,12.45,0.0299,0.733,7
1985,CB3.3W,13.2,1.42,9.423333333333334,12.766666666666666,0.0779,0.835,7.4
1985,CB4.1C,11.7,2.0833333333333335,10.751666666666667,12.3,0.0268,0.63,NA
1985,CB4.1E,12.5875,1.8666666666666667,11.433333333333334,12.866666666666667,0.0196,0.579,NA
1985,CB4.1W,14.85,1.5166666666666666,10.45,12.7,0.0391,0.695,7.3
1985,CB4.2C,11.35,2.2333333333333334,12.09,12.05,0.0366,0.654,7.4
1985,CB4.2E,10.9125,2.4,12.18,12.533333333333333,0.0208,0.646,6.4
1985,CB4.2W,11.325,2.15,12.168333333333333,12.233333333333333,0.0271,0.631,NA
1985,CB4.3C,13.85,2.183333333333333,12.698333333333334,11.983333333333334,0.0195,0.604,6.8
1985,CB4.3E,15.575,2.1,12.986666666666666,12.116666666666667,0.0186,0.594,NA
1985,CB4.3W,10.575,2.05,12.531666666666666,12.366666666666667,0.0952,0.604,NA
1985,CB4.4,17.675,2.2666666666666666,13.188333333333333,13.1,0.036,0.581,2
1985,CB5.1,15.675,2.35,13.708333333333334,13.816666666666666,0.0275,0.648,NA
1985,CB5.1W,NA,2.3333333333333335,NA,NA,0.05416666666666667,1.0175663333333334,9.916666666666666
1985,CB5.2,17.549999999999997,2.6166666666666667,14.106666666666667,12.916666666666666,0.0104,0.538,2
1985,CB5.3,21.175,2.15,14.176666666666666,12.933333333333334,0.0158,0.485,NA
1985,CB5.4,11.08,2.6666666666666665,15.292,12.666666666666666,0.016,NA,8.433333333333334
1985,CB5.4W,6.41,2.0833333333333335,15.241999999999999,14.68,0.02075,NA,6.74
1985,CB5.5,8.036666666666667,2.533333333333333,16.111666666666668,12.266666666666667,0.0178,NA,9.583333333333334
1985,CB6.1,5.9383333333333335,2.1,16.844,12.483333333333333,0.0155,NA,8.233333333333333
1985,CB6.2,6.32,2.8,17.214,13.98,0.0126,NA,8.56
1985,CB6.3,8.511666666666667,1.9666666666666666,17.975,13.383333333333333,0.02266666666666667,NA,13
1985,CB6.4,8.363333333333333,2.0833333333333335,20.77,12.600000000000001,0.0455,NA,4.55
1985,CB7.1,4.688,2.86,18.005,14.14,0.014,NA,6.14
1985,CB7.1N,11.891666666666667,2.466666666666667,16.79,12.466666666666667,0.0182,NA,13
1985,CB7.1S,4.386666666666667,2.62,18.485,13.366666666666667,0.015166666666666667,NA,11.65
1985,CB7.2,5.13,2.22,19.758333333333333,13.116666666666667,0.016666666666666666,NA,8.35
1985,CB7.2E,6.9783333333333335,1.9833333333333334,20.636666666666667,13.266666666666666,0.018833333333333334,NA,17.816666666666666
1985,CB7.3,4.778333333333333,2.75,23.25,12.9,0.04058333333333333,NA,3.1
1985,CB7.3E,3.0033333333333334,2.5,23.808333333333334,12.516666666666666,0.04166666666666667,NA,4.166666666666667
1985,CB7.4,1.96,2.8333333333333335,28.03333333333333,12.2,0.03933333333333333,NA,4.366666666666667
1985,CB7.4N,1.0783333333333334,2.5,29.888333333333335,12,0.05583333333333333,NA,5
1985,CB8.1,7.8533333333333335,1.8166666666666667,22.971666666666668,13.466666666666667,0.04683333333333333,NA,3.05
1985,CB8.1E,3.996666666666667,2.8333333333333335,26.661666666666665,12.016666666666667,0.04683333333333333,NA,3.5
1985,EE1.1,11.53,1.6333333333333333,12.595,12.633333333333333,0.046,1.1715360000000001,7.333333333333333
